"md20lp.±âÁØ_ºÐ±â_ÄÚµå","md20lp.»ó±Ç_±¸ºÐ_ÄÚµå_¸í","md20lp.»ó±Ç_ÄÚµå","a10m3","a10m4","a10t3","a10t4","a10w3","a10w4","a10h3","a10w4.1","a10f3","a10f4","a10s","a10su","a20m3","a20m4","a20t3","a20t4","a20w3","a20w4","a20h3","a20w4.1","a20f3","a20f4","a20s","a20su","a30m3","a30m4","a30t3","a30t4","a30w3","a30w4","a30h3","a30w4.1","a30f3","a30f4","a30s","a30su","a40m3","a40m4","a40t3","a40t4","a40w3","a40w4","a40h3","a40w4.1","a40f3","a40f4","a40s","a40su","a50m3","a50m4","a50t3","a50t4","a50w3","a50w4","a50h3","a50w4.1","a50f3","a50f4","a50s","a50su","a60m3","a60m4","a60t3","a60t4","a60w3","a60w4","a60h3","a60w4.1","a60f3","a60f4","a60s","a60su"
1,"°ñ¸ñ»ó±Ç",1000001,2224,2045,2244,2225,2167,2053,2133,2053,2202,2120,2187,2133,4247,4532,4582,4928,4421,4675,4516,4675,4460,4799,3506,3270,7389,7398,8040,8033,7579,7594,7723,7594,7408,7383,3504,3109,6625,6338,6961,6828,6631,6390,6839,6390,6583,6365,3719,3464,4683,4415,4966,4745,4673,4441,4882,4441,4735,4472,3412,3026,5163,4562,5446,4733,5228,4588,5338,4588,5147,4548,4859,4391
1,"°ñ¸ñ»ó±Ç",1000002,5418,5405,5231,5270,5424,5594,5262,5594,5252,5433,5878,5953,11004,11066,11164,11201,11076,11093,11042,11093,10984,10999,10779,10640,15350,15246,15565,15418,15184,15063,15699,15063,15214,14899,12884,12787,17060,16789,17353,16993,16753,16696,17031,16696,16632,16423,13020,11968,15896,16025,15792,15810,15936,16044,16153,16044,16383,16808,15407,15209,21642,21467,20851,20658,21458,21335,21587,21335,22572,22761,24726,25502
1,"°ñ¸ñ»ó±Ç",1000003,2218,2555,2095,2471,2196,2448,2175,2448,2194,2519,2611,2331,10233,11081,10813,11496,10417,11208,10700,11208,10173,11018,6745,5859,11428,11591,12241,12354,11641,11725,11981,11725,11384,11416,5521,4500,11199,11168,11855,11863,11372,11400,11792,11400,11168,11024,5650,4335,9486,9810,9965,10169,9462,9752,9755,9752,9243,9537,5965,4436,13989,14662,14220,14662,13565,14256,14059,14256,13425,14066,11439,8466
1,"°ñ¸ñ»ó±Ç",1000004,7127,6514,7249,6579,7127,6507,7122,6507,6642,6009,6527,7023,14098,13400,14341,13612,14228,13314,14156,13314,14330,13500,14068,13837,5005,4789,5091,4886,5068,4924,5059,4924,5062,4744,5499,5621,5666,5233,5580,5110,5454,5096,5386,5096,5468,5160,6187,6436,4651,4287,4735,4304,4647,4368,4603,4368,4624,4258,5220,5403,8791,8112,8733,7968,8403,8052,8553,8052,8577,7878,9401,10151
1,"°ñ¸ñ»ó±Ç",1000005,1168,1127,1198,1154,1202,1119,1184,1119,1105,1069,1145,1174,1136,1088,1193,1123,1208,1156,1207,1156,1154,1111,1295,1335,884,871,900,889,936,930,911,930,900,908,1219,1206,1241,1167,1235,1161,1279,1216,1243,1216,1252,1185,1555,1612,1235,1193,1232,1167,1231,1208,1259,1208,1184,1147,1577,1709,2218,2182,2295,2192,2277,2223,2257,2223,2214,2176,2560,2544
1,"°ñ¸ñ»ó±Ç",1000006,1972,1906,2025,2072,1949,1939,1891,1939,2048,2042,2172,2095,3919,4235,4204,4568,4151,4421,4235,4421,4205,4611,3614,3376,6600,6523,7163,7036,6867,6779,7032,6779,6809,6683,3690,3328,6142,5797,6390,6181,6163,5889,6443,5889,6240,5955,3795,3538,4434,4143,4627,4367,4447,4179,4664,4179,4531,4280,3494,3091,4996,4473,5240,4617,5071,4470,5204,4470,5027,4489,4963,4513
1,"°ñ¸ñ»ó±Ç",1000007,1438,1443,1478,1578,1479,1503,1382,1503,1553,1591,1746,1668,3262,3570,3505,3877,3487,3776,3579,3776,3536,3949,3008,2764,5537,5484,5964,5868,5785,5702,5942,5702,5741,5642,3187,2861,5168,4910,5380,5207,5214,5014,5495,5014,5310,5079,3186,2925,3797,3555,3881,3670,3810,3562,3978,3562,3829,3668,3001,2600,4213,3805,4400,3938,4294,3813,4413,3813,4268,3867,4230,3721
1,"°ñ¸ñ»ó±Ç",1000008,837,837,908,909,839,853,828,853,929,948,1009,947,1766,1924,1883,2038,1879,1996,1907,1996,1930,2130,1814,1687,2764,2714,3003,2962,2915,2923,2977,2923,2926,2911,1751,1675,2681,2498,2759,2635,2714,2598,2850,2598,2766,2640,1759,1685,1986,1818,2030,1928,2010,1898,2156,1898,2084,1950,1589,1522,2080,1922,2194,1978,2164,1957,2242,1957,2143,1953,2183,2092
1,"°ñ¸ñ»ó±Ç",1000009,827,838,905,917,842,865,819,865,928,957,1024,965,1784,1953,1902,2074,1905,2036,1935,2036,1952,2177,1837,1712,2816,2776,3058,3017,2972,2986,3037,2986,2989,2976,1821,1742,2738,2557,2819,2692,2768,2660,2914,2660,2829,2708,1809,1732,2044,1877,2076,1972,2065,1950,2207,1950,2127,2006,1645,1569,2149,1994,2265,2064,2237,2028,2306,2028,2219,2031,2245,2145
1,"°ñ¸ñ»ó±Ç",1000010,6884,7756,6961,7684,6903,7836,6870,7836,6860,7893,7005,7163,13906,15387,13900,15116,13957,15695,14044,15695,14187,15804,15882,15505,7047,7248,7248,7350,7274,7625,7413,7625,7332,7610,7281,7224,6605,6556,6922,6764,6868,6942,6912,6942,6913,6843,7032,6634,5784,5751,5838,5780,5825,5828,5825,5828,5855,5865,5869,5471,8917,8647,9084,8636,8777,8658,8743,8658,8739,8520,8336,8097
1,"°ñ¸ñ»ó±Ç",1000011,10670,9390,10684,9553,10775,9680,10311,9680,10367,9475,10760,11509,13873,13360,13966,13392,14029,13487,13881,13487,13802,13223,13996,14684,15868,15446,16215,15703,15738,15229,16053,15229,15786,15320,13812,14236,18664,18210,19066,18343,18212,17855,18655,17855,18323,17693,14407,14111,18692,18043,18797,18062,18579,18121,18749,18121,18891,18514,17372,17234,24830,23906,24881,23598,24923,23682,24685,23682,25464,24460,25129,26197
1,"°ñ¸ñ»ó±Ç",1000012,6183,5760,6369,5943,6103,5791,6204,5791,6139,5770,6177,6212,6216,6030,6305,6066,6431,6263,6281,6263,6172,6320,6488,6359,6571,6129,6647,6280,6786,6356,6878,6356,6912,6515,6803,6714,7264,6874,7355,6932,7565,7241,7649,7241,7448,7139,7637,7668,5881,5522,6057,5640,6040,5683,6161,5683,6040,5700,6188,6109,8428,8144,8564,8322,8513,8295,8612,8295,8463,8326,9006,9116
1,"°ñ¸ñ»ó±Ç",1000013,1464,1671,1373,1624,1438,1584,1441,1584,1416,1632,1685,1482,7075,7774,7396,7992,7114,7816,7340,7816,6991,7653,4739,4013,6977,7282,7500,7804,7107,7355,7288,7355,6962,7160,3638,2967,7263,7426,7651,7852,7356,7567,7636,7567,7207,7326,3828,2868,6441,6811,6800,7084,6410,6724,6644,6724,6318,6630,4017,2921,9526,10176,9688,10189,9239,9877,9598,9877,9191,9821,7797,5668
1,"°ñ¸ñ»ó±Ç",1000014,4487,4193,4663,4663,4639,4556,4721,4556,4465,4333,4716,5129,13143,13291,13812,13809,13373,13610,13438,13610,12955,13081,9177,8856,15152,15022,15975,15706,15339,15335,15571,15335,14822,14543,7990,7311,15578,15329,16343,16051,15795,15608,16213,15608,15275,14893,8372,7273,14936,14562,15654,15252,15080,14792,15353,14792,14579,14165,9643,7953,18330,17072,18899,17683,18254,17029,18674,17029,17802,16720,14724,13090
1,"°ñ¸ñ»ó±Ç",1000015,7532,7615,7778,7957,7710,8248,7902,8248,7502,7766,7858,8381,18086,19590,18727,20019,18513,20867,18469,20867,18006,19896,15288,15182,19149,19358,20036,20131,19507,20130,19626,20130,18782,19148,12277,12142,18083,17929,18957,18735,18344,18492,18602,18492,17789,17641,11268,10664,15852,15400,16396,15930,15925,15680,16081,15680,15403,14966,11291,10322,19287,17791,19731,18199,19216,17978,19518,17978,18738,17356,16272,15806
1,"°ñ¸ñ»ó±Ç",1000016,6181,6209,6288,6358,6205,6242,6235,6242,6300,6298,6586,6572,8573,8652,8731,8722,8755,8872,8689,8872,8510,8997,8136,7815,9764,9302,10132,9740,10109,9649,10313,9649,10153,9764,8433,8082,10207,9785,10577,10086,10611,10268,10851,10268,10517,10124,9074,8723,8238,7931,8554,8157,8455,8146,8601,8146,8369,8123,7690,7318,11266,11011,11639,11392,11495,11163,11560,11163,11420,11347,11644,10943
