기준_년_코드,기준_분기_코드,상권_코드,유사_업종_점포_수
2020,1,2110001,174
2020,1,2110002,205
2020,1,2110003,393
2020,1,2110004,413
2020,1,2110005,391
2020,1,2110006,114
2020,1,2110007,727
2020,1,2110008,1267
2020,1,2110009,188
2020,1,2110010,407
2020,1,2110011,78
2020,1,2110012,2201
2020,1,2110013,1128
2020,1,2110014,201
2020,1,2110015,576
2020,1,2110016,186
2020,1,2110017,776
2020,1,2110018,977
2020,1,2110019,1913
2020,1,2110020,497
2020,1,2110021,1133
2020,1,2110022,834
2020,1,2110023,567
2020,1,2110024,679
2020,1,2110025,897
2020,1,2110026,1157
2020,1,2110027,725
2020,1,2110028,1093
2020,1,2110029,2246
2020,1,2110030,1706
2020,1,2110031,310
2020,1,2110032,6065
2020,1,2110033,682
2020,1,2110034,5435
2020,1,2110035,1776
2020,1,2110036,1150
2020,1,2110037,957
2020,1,2110038,481
2020,1,2110039,3339
2020,1,2110040,826
2020,1,2110041,1108
2020,1,2110042,649
2020,1,2110043,1280
2020,1,2110044,803
2020,1,2110045,1718
2020,1,2110046,498
2020,1,2110047,1011
2020,1,2110048,2668
2020,1,2110049,1234
2020,1,2110050,1019
2020,1,2110051,1419
2020,1,2110052,1154
2020,1,2110053,1363
2020,1,2110054,1182
2020,1,2110055,3511
2020,1,2110056,1880
2020,1,2110057,1176
2020,1,2110058,2644
2020,1,2110059,659
2020,1,2110060,1082
2020,1,2110061,682
2020,1,2110062,1245
2020,1,2110063,3112
2020,1,2110064,1058
2020,1,2110065,1894
2020,1,2110066,1098
2020,1,2110067,1576
2020,1,2110068,1981
2020,1,2110069,1663
2020,1,2110070,180
2020,1,2110071,328
2020,1,2110072,729
2020,1,2110073,780
2020,1,2110074,1411
2020,1,2110075,1721
2020,1,2110076,445
2020,1,2110077,675
2020,1,2110078,332
2020,1,2110079,1288
2020,1,2110080,621
2020,1,2110081,850
2020,1,2110082,1640
2020,1,2110083,144
2020,1,2110084,932
2020,1,2110085,1174
2020,1,2110086,2214
2020,1,2110087,1540
2020,1,2110088,687
2020,1,2110089,198
2020,1,2110090,726
2020,1,2110091,944
2020,1,2110092,933
2020,1,2110093,1904
2020,1,2110094,358
2020,1,2110095,1204
2020,1,2110096,207
2020,1,2110097,472
2020,1,2110098,505
2020,1,2110099,738
2020,1,2110100,237
2020,1,2110101,339
2020,1,2110102,544
2020,1,2110103,457
2020,1,2110104,844
2020,1,2110105,1065
2020,1,2110106,260
2020,1,2110107,724
2020,1,2110108,386
2020,1,2110109,545
2020,1,2110110,858
2020,1,2110111,184
2020,1,2110112,1062
2020,1,2110113,183
2020,1,2110114,903
2020,1,2110115,1608
2020,1,2110116,1465
2020,1,2110117,1402
2020,1,2110118,1208
2020,1,2110119,1234
2020,1,2110120,489
2020,1,2110121,730
2020,1,2110122,1076
2020,1,2110123,600
2020,1,2110124,948
2020,1,2110125,723
2020,1,2110126,990
2020,1,2110127,871
2020,1,2110128,1328
2020,1,2110129,936
2020,1,2110130,905
2020,1,2110131,2165
2020,1,2110132,834
2020,1,2110133,1517
2020,1,2110134,1242
2020,1,2110135,1080
2020,1,2110136,2422
2020,1,2110137,2169
2020,1,2110138,1007
2020,1,2110139,1122
2020,1,2110140,2500
2020,1,2110141,1648
2020,1,2110142,1673
2020,1,2110143,564
2020,1,2110144,1256
2020,1,2110145,744
2020,1,2110146,763
2020,1,2110147,1198
2020,1,2110148,781
2020,1,2110149,456
2020,1,2110150,1231
2020,1,2110151,963
2020,1,2110152,720
2020,1,2110153,1680
2020,1,2110154,1656
2020,1,2110155,1526
2020,1,2110156,1364
2020,1,2110157,915
2020,1,2110158,1334
2020,1,2110159,2465
2020,1,2110160,588
2020,1,2110161,1299
2020,1,2110162,1502
2020,1,2110163,837
2020,1,2110164,766
2020,1,2110165,1274
2020,1,2110166,1925
2020,1,2110167,1689
2020,1,2110168,542
2020,1,2110169,847
2020,1,2110170,1509
2020,1,2110171,752
2020,1,2110172,902
2020,1,2110173,1783
2020,1,2110174,1487
2020,1,2110175,1405
2020,1,2110176,963
2020,1,2110177,452
2020,1,2110178,396
2020,1,2110179,398
2020,1,2110180,581
2020,1,2110181,1612
2020,1,2110182,1104
2020,1,2110183,806
2020,1,2110184,958
2020,1,2110185,836
2020,1,2110186,606
2020,1,2110187,1168
2020,1,2110188,910
2020,1,2110189,1184
2020,1,2110190,1058
2020,1,2110191,695
2020,1,2110192,1595
2020,1,2110193,562
2020,1,2110194,1329
