기준_년_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,기준_분기_코드
2020,A,골목상권,1000001,계동길,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,38,NA,NA,NA,NA,10,1
2020,A,골목상권,1000002,난계로27길,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,1,1
2020,A,골목상권,1000003,돈화문로11가길,41,NA,1,NA,NA,NA,1,2,NA,NA,NA,NA,NA,1,8,NA,NA,NA,NA,4,1
2020,A,골목상권,1000004,명륜길,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,5,1
2020,A,골목상권,1000005,백석동길,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,1
2020,A,골목상권,1000006,북촌로11길,24,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,9,NA,NA,NA,NA,4,1
2020,A,골목상권,1000007,북촌로5길,27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA,NA,4,1
2020,A,골목상권,1000008,북촌로5나길,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,6,1
2020,A,골목상권,1000009,삼청로5길,31,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,7,1
2020,A,골목상권,1000010,성균관로5길,14,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,1
2020,A,골목상권,1000011,숭인동길,17,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,1
2020,A,골목상권,1000012,옥인길,12,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,3,1
2020,A,골목상권,1000013,율곡로10길,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,NA,NA,NA,NA,1,1
2020,A,골목상권,1000014,율곡로16길,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
2020,A,골목상권,1000015,이화장길,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,1
2020,A,골목상권,1000016,자하문로7길,28,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,8,NA,NA,NA,NA,5,1
2020,A,골목상권,1000017,종로24길,14,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1
2020,A,골목상권,1000018,종로58가길,18,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1
2020,A,골목상권,1000019,종로65길,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,5,1
2020,A,골목상권,1000020,지봉로8길,17,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,1
2020,A,골목상권,1000021,창경궁로35길,17,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,4,1
2020,A,골목상권,1000022,창신2길,5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
