기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
2021,1,A,골목상권,2110001,이북5도청사,42,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
2021,1,A,골목상권,2110002,독립문역 1번,57,3,1,1,NA,4,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,18
2021,1,A,골목상권,2110003,세검정초등학교,102,4,2,NA,NA,3,1,2,1,1,15,NA,NA,NA,NA,NA,NA,NA,NA,55
2021,1,A,골목상권,2110004,대신고등학교,87,6,3,NA,NA,5,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
2021,1,A,골목상권,2110005,세검정,85,3,2,NA,NA,3,1,2,1,1,12,NA,NA,NA,NA,NA,NA,NA,NA,43
2021,1,A,골목상권,2110006,부암동주민센터,26,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
2021,1,A,골목상권,2110007,사직공원(한국사회과학도서관),90,9,2,NA,NA,4,1,2,NA,2,8,NA,NA,NA,NA,NA,NA,NA,NA,33
2021,1,A,골목상권,2110008,배화여자대학교(박노수미술관),94,6,3,NA,NA,6,1,1,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,28
2021,1,A,골목상권,2110009,자하문터널,28,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
2021,1,A,골목상권,2110010,평창동서측,79,2,3,NA,1,3,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,47
2021,1,A,골목상권,2110011,청운초등학교,27,2,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
2021,1,A,골목상권,2110012,성곡미술관,148,13,18,NA,NA,13,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,26
2021,1,A,골목상권,2110013,체부동홍종문가옥,81,6,2,NA,NA,7,1,1,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,24
2021,1,A,골목상권,2110014,경복고등학교,46,5,1,NA,NA,1,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
2021,1,A,골목상권,2110015,청와대사랑채,48,6,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
2021,1,A,골목상권,2110016,평창동동측,73,2,2,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,46
2021,1,A,골목상권,2110017,정독도서관,65,11,2,NA,NA,NA,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,26
2021,1,A,골목상권,2110018,중앙고등학교,110,9,5,NA,NA,1,2,2,1,2,14,NA,NA,NA,1,NA,NA,NA,NA,37
2021,1,A,골목상권,2110019,창덕궁,106,4,6,NA,NA,3,1,2,NA,NA,1,NA,NA,NA,3,NA,NA,NA,3,14
2021,1,A,골목상권,2110020,서울국제고등학교,104,3,2,NA,NA,4,3,2,1,3,14,NA,NA,NA,NA,NA,NA,NA,NA,40
2021,1,A,골목상권,2110021,성균관대학교,133,5,7,1,NA,15,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,1,32
2021,1,A,골목상권,2110022,경신고등학교,122,8,4,NA,NA,6,3,2,1,4,12,NA,NA,NA,NA,NA,NA,NA,NA,38
2021,1,A,골목상권,2110023,서울대병원,110,3,5,1,NA,19,NA,NA,2,NA,31,NA,NA,NA,NA,NA,NA,NA,1,30
2021,1,A,골목상권,2110024,혜회동주민센터,87,5,5,NA,NA,8,3,1,NA,1,13,NA,NA,NA,NA,NA,NA,NA,NA,14
2021,1,A,골목상권,2110025,충신시장옆,118,7,2,NA,NA,5,NA,1,2,NA,11,NA,NA,NA,1,NA,NA,NA,NA,25
2021,1,A,골목상권,2110026,종로5가역 4번,136,5,3,NA,NA,21,NA,1,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,17
2021,1,A,골목상권,2110027,혜화역 1번,124,5,5,1,NA,4,NA,NA,3,2,55,NA,NA,NA,NA,NA,NA,NA,NA,21
2021,1,A,골목상권,2110028,이화달팽이길,138,10,NA,NA,NA,11,NA,NA,2,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,28
2021,1,A,골목상권,2110029,동대문역 1번,227,9,7,NA,NA,22,NA,2,1,2,15,NA,4,NA,6,NA,NA,NA,2,30
2021,1,A,골목상권,2110030,동대문역 3번,128,3,4,NA,NA,14,NA,2,NA,NA,NA,NA,1,NA,6,NA,NA,NA,2,10
2021,1,A,골목상권,2110031,창신역 1번,71,7,NA,NA,NA,3,1,4,1,2,13,NA,NA,NA,NA,NA,NA,NA,1,21
2021,1,A,골목상권,2110032,수족관거리,118,6,5,NA,NA,10,NA,1,NA,1,NA,NA,NA,NA,7,NA,NA,NA,2,14
2021,1,A,골목상권,2110033,창신역 4번,95,6,1,NA,NA,10,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,20
2021,1,A,골목상권,2110034,창신1동주민센터,114,7,5,NA,NA,12,NA,NA,NA,1,NA,NA,2,NA,4,NA,NA,NA,2,14
2021,1,A,골목상권,2110035,동묘앞역 2번,169,7,8,NA,1,13,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,2,20
