"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","집객시설_수","관공서_수","은행_수","종합병원_수","일반_병원_수","약국_수","유치원_수","초등학교_수","중학교_수","고등학교_수","대학교_수","백화점_수","슈퍼마켓_수","극장_수","숙박_시설_수","공항_수","철도_역_수","버스_터미널_수","지하철_역_수","버스_정거장_수"
"2022","1","D","발달상권","2120119","발산역(마곡)","105","","7","","1","15","","","","","","","","","1","","","","1","18"
"2022","1","A","골목상권","2110667","가양역 10번","16","","","","","2","","","","","","","","","","","","","","3"
"2022","1","A","골목상권","2110668","화곡2동주민센터","21","2","","","","2","1","","","","","","","","","","","","","5"
"2022","1","A","골목상권","2110664","강서구청옆","5","","","","","1","","","","","","","","","","","","","","2"
"2022","1","D","발달상권","2120129","구로디지털단지","76","5","16","","","5","","","","","","","","","","","","","","19"
"2022","1","D","발달상권","2120127","구로구청","22","1","3","","","1","","","","","","","","","","","","","","13"
"2022","1","D","발달상권","2120130","구로디지털단지역","50","","1","","","7","","","","","","","","","1","","","","","13"
"2022","1","D","발달상권","2120124","개봉동 현대아파트","66","4","2","","","9","1","","","","","","1","","","","","","","15"
"2022","1","R","전통시장","2130225","개봉중앙시장","25","1","2","","","5","","","","","","","1","","","","","","","4"
"2022","1","A","골목상권","2110682","온수역 8번","14","","1","","","","","","","","","","","","","","","","","12"
"2022","1","A","골목상권","2110202","전농1동주민센터(전농시장)","9","1","","","1","1","","","","1","","","","","3","","","","","1"
"2022","1","A","골목상권","2110752","한울중학교","30","","","","","4","","","","","","","","","","","","","","10"
"2022","1","D","발달상권","2120134","구로전화국","40","","1","","","8","1","","","","","","","","","","","","","11"
"2022","1","A","골목상권","2110849","이수역 10번","15","1","","","","","","","","","","","1","","","","","","","6"
"2022","1","A","골목상권","2110754","삼성산자연공원(서울금천초등학교)","16","1","","","","2","2","","","","","","","","","","","","","4"
"2022","1","A","골목상권","2110621","목동역 5번","6","","","","","","","","","","","","","","","","","","","4"
"2022","1","A","골목상권","2110837","숭실대입구역 1번","31","1","1","","","4","1","","","","","","","","","","","","1","7"
"2022","1","A","골목상권","2110846","남성역 1번","34","4","","","","3","","","","","","","","","","","","","","3"
"2022","1","R","전통시장","2130265","노량진중앙시장","3","","","","","","","","","","","","","","","","","","","1"
"2022","1","D","발달상권","2120188","압구정역","213","","14","","1","36","","","","","","1","","","","","","","1","6"
"2022","1","A","골목상권","2110904","이수역 5번","7","","","","","1","","","","","","","","","","","","","","2"
"2022","1","A","골목상권","2110906","서문여고","7","1","","","","","","","","","","","","","","","","","","2"
"2022","1","D","발달상권","2120182","양재시민의숲역(양재동꽃시장 aT센터)","25","2","1","","","3","","","","","","","","","","","","","","8"
"2022","1","A","골목상권","2110037","신설동역 12번","16","","","","","","","","","","","","","","","","","","",""
"2022","1","A","골목상권","2110939","양재역 8번(양재동우체국)","23","","","","1","5","","","","","1","","","","","","","","","5"
"2022","1","A","골목상권","2110480","연신내역 3번","5","","","","","","","","","","","","","","","","","","","1"
"2022","1","R","전통시장","2130161","증산종합시장","2","","","","","","","","","","","","1","","","","","","",""
"2022","1","A","골목상권","2110474","세명컴퓨터고등학교","11","1","","","","","","","","","","","1","","","","","","","4"
"2022","1","D","발달상권","2120112","등촌역","46","1","5","","","6","1","","","","","","","","","","","","1","6"
"2022","1","R","전통시장","2130210","목2동시장","26","1","1","","1","6","","","","","","","","","1","","","","",""
"2022","1","A","골목상권","2110703","개봉역","31","","1","","","2","","","","","","","","","","","","","1","7"
"2022","1","D","발달상권","2120108","신정네거리역","66","1","3","","1","10","","","","","","","","","","","","","1","14"
"2022","1","A","골목상권","2110602","신월시영아파트중문","9","","1","","","2","","","","","","","","","","","","","","4"
"2022","1","A","골목상권","2110662","까치산역 1번","24","1","","","","2","","","","","","","","","","","","","","11"
"2022","1","D","발달상권","2120232","송파나루역","22","","1","","1","4","","","","","","","","","","","","","","5"
"2022","1","A","골목상권","2110184","용두사거리","8","","","","","1","","","","","","","","","","","","","","3"
"2022","1","D","발달상권","2120081","노원역","217","2","9","","2","30","","","","","","","","","","","","","2","27"
"2022","1","A","골목상권","2111034","오동나무공원(송파레미니스1단지)","9","","","","","1","","","","","","","","","","","","","","4"
"2022","1","A","골목상권","2110413","누원고등학교","12","1","1","","","2","","","","","","","","","","","","","","3"
"2022","1","D","발달상권","2120245","둔촌역","80","2","5","","","13","1","","","","1","","","","","","","","1","6"
"2022","1","A","골목상권","2111063","강동구립 천호도서관","18","1","","","","1","","","","","","","","","","","","","","1"
"2022","1","R","전통시장","2130319","성내전통시장","5","","","","","1","","","","","","","","","","","","","",""
"2022","1","A","골목상권","2110065","남정초등학교","4","","","","","","","","","","","","","","","","","","","4"
"2022","1","D","발달상권","2120021","시청역_8번","53","","15","","","4","","","","","","","","","","","","","","6"
"2022","1","A","골목상권","2110092","NH농협은행 보광동지점","16","","1","","","3","1","","","","","","","","","","","","","2"
"2022","1","D","발달상권","2120139","대림3동사거리","43","1","4","","1","2","1","","","","1","","","","","","","","","20"
"2022","1","D","발달상권","2120047","한남오거리","46","3","6","","","6","","","","","","","1","","","","","","","9"
"2022","1","R","전통시장","2130012","동대문종합시장(동대문종합시장 신관 동대문종합시장D동상가)","15","","4","","","2","","","","","","","3","","","","","","","1"
"2022","1","D","발달상권","2120013","이화사거리","28","1","1","","","1","","","","","3","","","","","","","","","12"
"2022","1","D","발달상권","2120055","군자역","93","2","6","","1","12","","","","","","","","","","","","","2","14"
"2022","1","A","골목상권","2110162","군자역 4번","3","","","","","","1","","","","","","","","","","","","",""
"2022","1","A","골목상권","2110140","건대입구역 6번","24","","2","","1","6","","","","","","","","","","","","","","3"
"2022","1","R","전통시장","2130025","삼익패션타운(남대문시장)","10","","1","","","2","","","","","","","","","1","","","","",""
"2022","1","D","발달상권","2120022","북창동(시청역_6번)","45","3","3","","","1","","","","","","","","","2","","","","","8"
"2022","1","U","관광특구","1001493","동대문패션타운 관광특구","149","3","12","1","1","15","","1","1","3","","","3","","1","","","","5","18"
"2022","1","D","발달상권","2120043","서울역","101","4","7","","","5","","","","","","","","","1","","","","5","27"
"2022","1","A","골목상권","2110042","남산골공원옆","5","","","","","","","","","","","","","","","","","","",""
"2022","1","A","골목상권","2110048","장충동주민센터","11","2","1","","","","","","","","","","","","","","","","",""
"2022","1","A","골목상권","2110089","서빙고동주민센터","4","1","","","","","","","","","","","","","","","","","","2"
"2022","1","D","발달상권","2120051","뚝섬역","39","1","3","","","4","","","","","1","","","","","","","","1","7"
"2022","1","A","골목상권","2110057","황학코아루아파트","14","","","","","1","","","","","","","","","","","","","","2"
"2022","1","A","골목상권","2110256","면목2동체육관","36","","","","","6","1","","","","","","7","","","","","","","7"
"2022","1","A","골목상권","2110152","중곡어린이공원","6","","","","","","","","","","","","","","","","","","","4"
"2022","1","A","골목상권","2110244","중화역 4번","18","","1","","","2","","","","","","","1","","","","","","1","5"
"2022","1","A","골목상권","2110247","먹골역 1번","21","2","","","1","4","","","","","","","","","","","","","","2"
"2022","1","A","골목상권","2110175","푸른동산공원","8","","","","","","1","","","","","","","","","","","","","2"
"2022","1","A","골목상권","2110180","광진정보도서관","11","1","1","","","1","","","","","","","","","","","","","","5"
"2022","1","A","골목상권","2110252","장안제일시장","16","","1","","","1","","","","","","","2","","","","","","","5"
"2022","1","A","골목상권","2110307","길음역 7번","27","","2","","","5","","","","","","","","","","","","","","6"
"2022","1","A","골목상권","2110356","덕수교","8","","","","","2","","","","","","","","","","","","","","1"
"2022","1","A","골목상권","2110275","하나은행 망우동지점","10","","1","","","1","","","","","","","1","","","","","","","1"
"2022","1","A","골목상권","2110249","중화역 1번","22","","","","","2","","","","","","","","","","","","","","4"
"2022","1","A","골목상권","2110313","안암역 3번","23","","2","","1","3","","","","","1","","","","","","","","","6"
"2022","1","A","골목상권","2110299","정릉역 1번","23","","","","","4","1","","","","","","","","","","","","1","3"
"2022","1","A","골목상권","2110322","장위1동주민센터","16","","1","","","2","6","","","","","","","","","","","","","5"
"2022","1","R","전통시장","2130121","길음시장","4","","2","","","","","","","","","","1","","","","","","",""
"2022","1","A","골목상권","2110321","동덕여대","5","1","","","","","","","","","","","","","","","","","","3"
"2022","1","A","골목상권","2110329","우리은행체육관","8","","","","","2","","","","","","","","","","","","","","4"
"2022","1","D","발달상권","2120071","성북구청","14","","","","","2","","","","","1","","","","","","","","","4"
"2022","1","A","골목상권","2110335","석계역 7번","37","4","1","","","2","","","","","","","","","","","","","2","15"
"2022","1","R","전통시장","2130132","삼양골목시장(삼양시장)","31","1","","","","5","","","","","","","","","","","","","","8"
"2022","1","A","골목상권","2110374","송중초등학교","22","1","","","1","2","","","","","","","","","","","","","","1"
"2022","1","A","골목상권","2110550","합정역 8번","16","","","","","1","","","","","","","","","","","","","","6"
"2022","1","D","발달상권","2120105","상수역(홍대)","28","2","1","","","2","","","","","3","","","","","","","","1","10"
"2022","1","A","골목상권","2110778","구로디지털단지역 4번","32","1","1","","","5","","","","","","","","","1","","","","1","7"
"2022","1","A","골목상권","2110502","남가좌파출소","23","1","1","","","3","","","","","","","","","","","","","","4"
"2022","1","A","골목상권","2110578","대흥역 2번","20","4","","","","1","","","","","","","","","","","","","1","7"
"2022","1","A","골목상권","2110571","신수동주민센터","8","2","","","","","1","","","","","","","","","","","","","3"
"2022","1","A","골목상권","2110511","연희초등학교","13","","","","1","","","","","","","","","","","","","","","3"
"2022","1","A","골목상권","2110854","조원동주민센터","5","2","","","","","","","","","","","","","","","","","","2"
"2022","1","A","골목상권","2110555","홍익지구대","6","","","","","","","","","","","","","","","","","","","2"
"2022","1","R","전통시장","2130185","망원월드컵시장","13","","","","","3","","","","","","","","","","","","","","4"
"2022","1","R","전통시장","2130246","영등포청과시장(조광시장)","13","","","","","2","","","","","","","","","4","","","","","1"
"2022","1","A","골목상권","2110589","애오개역 3번","11","","1","","","3","","","","","","","","","","","","","","2"
"2022","1","A","골목상권","2110795","도림초등학교","10","1","","","","","1","","","","","","","","","","","","","4"
"2022","1","R","전통시장","2130295","인헌시장(원당종합시장)","18","1","","","","6","1","","","","","","1","","","","","","","2"
"2022","1","D","발달상권","2120160","사당역(사당)","83","2","4","","","7","","","","","1","","","","","","","","2","10"
"2022","1","A","골목상권","2110885","영락고등학교","18","","","","","2","","","","","","","","","","","","","","9"
"2022","1","R","전통시장","2130276","신림중앙시장(조원동 펭귄시장)","4","","","","","1","","","","","","","1","","","","","","","1"
"2022","1","R","전통시장","2130290","영림시장","30","1","1","","","6","","","","","","","1","","","","","","1","1"
"2022","1","R","전통시장","2130149","창동신창시장","12","1","","","","4","","","","","","","","","","","","","","2"
"2022","1","D","발달상권","2120211","도성초등학교","27","","1","","1","5","","","","","1","","","","","","","","","4"
"2022","1","D","발달상권","2120220","대치역","72","1","8","","","8","","1","","","","","","","","","","","","7"
"2022","1","D","발달상권","2120218","코엑스","22","","6","","","3","","","","","","","","","","","","","","4"
"2022","1","A","골목상권","2110437","당고개역 2번","18","1","","","","2","","","","","","","","","1","","","","","1"
"2022","1","D","발달상권","2120206","개나리아파트","45","2","4","","2","5","","","","","","","","","","","","","","10"
"2022","1","D","발달상권","2120067","장안동사거리","92","1","3","","3","14","","","","","","","","","1","","","","","17"
"2022","1","A","골목상권","2110257","상봉역 7번","11","2","","","","2","1","","","","","","","","","","","","","2"
"2022","1","A","골목상권","2110405","방학역 1번","23","","1","","","4","","","","","","","","","","","","","","4"
"2022","1","D","발달상권","2120168","서울고교교차로","14","1","2","","","2","","","","","","","","","","","","","","5"
"2022","1","A","골목상권","2110394","방학중학교","12","2","","","","2","","","","","","","","","","","","","","4"
"2022","1","A","골목상권","2110672","백석중학교","1","","","","","","","","","","","","","","","","","","",""
"2022","1","A","골목상권","2111086","한영중고","11","","","","","1","2","","","","","","","","","","","","","4"
"2022","1","A","골목상권","2110960","은광여고","3","","","","","","","","","","","","","","","","","","",""
"2022","1","A","골목상권","2110016","평창동동측","39","2","1","","","","1","","","","1","","","","","","","","","23"
"2022","1","A","골목상권","2110216","전농중학교","12","","","","","3","","","","","","","","","","","","","","2"
"2022","1","A","골목상권","2110419","수락산디자인거리","22","1","","","","1","","","","","","","","","","","","","","9"
"2022","1","A","골목상권","2110073","삼각지역 3번","5","","","","","","","","","","","","","","","","","","",""
"2022","1","R","전통시장","2130248","영등포역지하도상점가","11","1","","","","1","","","","","","","","","","","","","1","2"
"2022","1","A","골목상권","2110491","불광중학교","7","","","","","","","","","","","","","","","","","","","4"
"2022","1","A","골목상권","2110615","신서초등학교","3","1","","","","","","","","","","","","","","","","","","1"
"2022","1","A","골목상권","2110614","목동로데오거리","3","","","","","","","","","","","","","","","","","","",""
"2022","1","A","골목상권","2110678","염창무학아파트","6","","","","","1","","","","","","","","","","","","","","1"
"2022","1","A","골목상권","2110940","양재근린공원(양재2동주민센터)","2","","","","","1","","","","","","","","","","","","","",""
"2022","1","A","골목상권","2110715","구로구민회관","8","","","","","1","","","","","","","","","","","","","",""
"2022","1","A","골목상권","2110753","시흥동 은행나무사거리","26","1","","","","9","","","","","","","","","","","","","","10"
"2022","1","A","골목상권","2111087","고덕중학교(고덕2동주민센터)","6","1","","","","1","","","","","","","","","","","","","","3"
"2022","1","A","골목상권","2111014","송파나루역 2번","3","","","","","","","","","","","","","","","","","","",""
"2022","1","A","골목상권","2111080","굽은다리역 3번","13","1","","","1","1","","","","","","","","","","","","","",""
"2022","1","A","골목상권","2111051","천호역 6번","6","1","","","1","2","","","","","","","","","","","","","","1"
"2022","1","A","골목상권","2110063","효창공원앞역 5번","20","","","","","3","","","","","","","","","","","","","","4"
"2022","1","A","골목상권","2110111","대현산장미원","5","","","","","","","","","","","","","","","","","","","4"
"2022","1","A","골목상권","2110091","리움미술관","3","3","","","","","","","","","","","","","","","","","",""
"2022","1","D","발달상권","2120025","롯데백화점(시청광장 지하쇼핑센터)","19","","2","","","1","","","","","","1","","","","","","","","3"
"2022","1","A","골목상권","2110077","삼광초등학교","5","","","","","1","","","","","","","","","","","","","","1"
"2022","1","A","골목상권","2110246","월드순복음교회","7","","","","","","","","","","","","","","2","","","","","3"
"2022","1","A","골목상권","2110259","사가정역 1번","16","","","","","5","","","","","","","","","1","","","","","2"
"2022","1","A","골목상권","2110295","정릉우체국","18","1","1","","","3","1","","","","","","","","","","","","","5"
"2022","1","A","골목상권","2110293","삼선중학교","7","","","","","1","","","","","","","","","","","","","","2"
"2022","1","A","골목상권","2110401","도봉구민회관","8","2","1","","1","","","","","","","","","","","","","","","3"
"2022","1","A","골목상권","2110525","홍은종합사회복지관","10","1","","","","1","","","","","","","","","","","","","","3"
"2022","1","A","골목상권","2110541","동교초등학교","14","1","","","","","","","","","","","","","","","","","","12"
"2022","1","A","골목상권","2110557","홍대부속여중고앞","15","","","","","2","","","","","","","","","","","","","","7"
"2022","1","R","전통시장","2130244","대림중앙시장","2","","","","","1","","","","","","","","","","","","","",""
"2022","1","R","전통시장","2130280","신림종합시장","1","","","","","","","","","","","","1","","","","","","",""
"2022","1","A","골목상권","2110878","미림여고","5","1","","","","","","","","","","","","","","","","","","2"
"2022","1","A","골목상권","2110956","언주역 8번","2","","","","","1","","","","","","","","","","","","","","1"
"2022","1","R","전통시장","2130002","세종마을음식문화거리(금천교시장)","20","","","","","3","","","","","","","","","","","","","","4"
"2022","1","R","전통시장","2130147","쌍문역동측상점가","11","","1","","","1","","","","","","","","","","","","","","3"
"2022","1","A","골목상권","2110248","먹골파출소","3","1","","","","","","","","","","","","","","","","","","1"
"2022","1","R","전통시장","2130169","대조시장","21","1","","","","4","","","","","","","","","","","","","","3"
"2022","1","R","전통시장","2130170","제일시장","21","","1","","","2","","","","","","","","","","","","","","3"
"2022","1","A","골목상권","2110609","신정네거리역 2번","3","","","","","","","","","","","","","","","","","","","2"
"2022","1","A","골목상권","2110644","신광명마을","5","","","","","","","","","","","","","","","","","","","4"
"2022","1","A","골목상권","2110829","장승배기역 5번","5","1","","","","1","","","","","","","","","","","","","","1"
"2022","1","A","골목상권","2110851","경문고등학교(동작동성당)","7","","","","","","","","","","","","","","","","","","",""
"2022","1","A","골목상권","2111036","투구봉어린이공원","4","","","","","1","1","","","","","","","","","","","","",""
"2022","1","A","골목상권","2110980","개포지구대옆","1","","","","","","","","","","","","","","","","","","",""
"2022","1","R","전통시장","2130015","창신골목시장","10","1","1","","","","","","","","","","","","","","","","","2"
"2022","1","R","전통시장","2130043","제일평화시장","3","","1","","","1","","","","","","","1","","","","","","",""
"2022","1","R","전통시장","2130054","황학동주방가구거리상점가","7","","","","","","","","","","","","","","1","","","","",""
"2022","1","A","골목상권","2110271","신내역 1번","3","","","","","","","","","","","","","","","","","","","2"
"2022","1","A","골목상권","2110306","미아초등학교","4","","","","","","1","","","","","","","","","","","","","1"
"2022","1","A","골목상권","2110363","송천동주민센터","5","2","","","","1","","","","","","","","","","","","","","1"
"2022","1","A","골목상권","2110563","상수역 3번","2","","","","","1","","","","","","","","","","","","","","1"
"2022","1","R","전통시장","2130197","마포시장","2","","","","","1","","","","","","","1","","","","","","",""
"2022","1","A","골목상권","2110793","대림썬프라자","4","","","","","","","","","","","","2","","","","","","","2"
"2022","1","A","골목상권","2110900","낙성대역 1번(관악구민 종합체육센터)","7","","","","","","","","","","","","1","","","","","","",""
"2022","1","D","발달상권","2120176","논현역 4번","4","1","","","","","","","","","","","","","","","","","",""
"2022","1","R","전통시장","2130101","답십리현대시장","5","","","","","2","","","","","","","2","","","","","","",""
"2022","1","A","골목상권","2110027","혜화역 1번","5","","","","","1","","","","","1","","","","","","","","",""
"2022","1","A","골목상권","2110208","시조사삼거리","6","","","","","","","","","","","","","","","","","","","1"
"2022","1","A","골목상권","2110722","G타워","5","","","","","2","","","","","","","","","","","","","","1"
"2022","1","D","발달상권","2120163","사당역 11번(사당역먹자골목)","2","1","","","","","","","","","","","","","","","","","",""
"2022","1","R","전통시장","2130075","노룬산시장(노룬산골목시장)","6","","","","","1","","","","","","","1","","","","","","",""
"2022","1","A","골목상권","2110540","망원나들목체육관","1","","","","","","","","","","","","","","","","","","",""
"2022","1","A","골목상권","2110816","대방역 6번","8","1","","","","1","","","","","","","","","","","","","1","3"
"2022","1","A","골목상권","2110796","한림대학교한강성심병원","1","","","1","","","","","","","","","","","","","","","",""
"2022","1","A","골목상권","2110181","신설동역 9번","6","1","1","","","","","","","","","","","","","","","","","1"
"2022","1","A","골목상권","2110723","가산디지털단지역 1번 출입구","4","","","","","","","","","","","","","","2","","","","","2"
"2022","1","A","골목상권","2110982","강남구보훈회관","1","","","","","","","","","","","","","","","","","","",""
"2022","1","A","골목상권","2110141","건대입구역 1번","3","","","","","","","","","","","","","","","","","","","2"
"2022","1","R","전통시장","2130151","신도봉시장","1","","","","","","","","","","","","1","","","","","","",""
"2022","1","A","골목상권","2110772","신우어린이공원","2","","","","","","","","","","","","","","","","","","","1"
"2022","1","A","골목상권","2110650","우장산힐스테이트","5","","","","","","","","","","","","","","","","","","","5"
"2022","1","A","골목상권","2110925","서초중학교","2","","","","","","","","","","","","","","","","","","",""
"2022","1","A","골목상권","2111025","경찰병원역 3번","1","","","","","","","","","","","","","","","","","","",""
"2022","1","A","골목상권","2111065","천일초등학교","1","","","","","","","","","","","","","","","","","","","1"
"2022","1","R","전통시장","2130130","수유북부골목시장","1","","","","","","","","","","","","1","","","","","","",""
"2022","1","D","발달상권","2120196","서울세관","36","4","5","","2","3","","","","","","","","","","","","","","10"
"2022","1","D","발달상권","2120090","연신내역","98","","5","","","13","","","","","","","","","","","","","2","16"
"2022","1","A","골목상권","2110458","선일여고","17","","","","","3","","","","","","","","","","","","","","6"
"2022","1","A","골목상권","2110464","연신내역 5번","10","1","","","","","1","","","","","","","","","","","","","3"
"2022","1","A","골목상권","2110472","연신내역 4번","14","","","","","1","","","","","","","","","","","","","","5"
"2022","1","D","발달상권","2120087","응암역","25","1","","","","1","","","","","","","","","","","","","1","4"
"2022","1","A","골목상권","2110626","양화초등학교","7","","","","","1","1","","","","","","","","","","","","","1"
"2022","1","A","골목상권","2110595","메디힐병원","21","3","","","1","2","","","","","","","","","","","","","","5"
"2022","1","R","전통시장","2130205","신곡종합시장(신월6동 골목시장)","15","","1","","1","4","","","","","","","","","","","","","","2"
"2022","1","A","골목상권","2110596","서서울호수공원","3","","","","","","","","","","","","","","","","","","","2"
"2022","1","A","골목상권","2110625","신정2동주민센터","24","3","","","","2","","","","","","","","","","","","","","11"
