"도착.행정동.코드","성별","나이","이동인구.합."
1104068,"F",0,222.47
1105056,"F",0,335.52
1108085,"F",0,561.53
1104068,"M",0,322.21
1105056,"M",0,613.3
1108085,"M",0,290.2
1104068,"F",10,113.09
1105056,"F",10,293.64
1108085,"F",10,204.3
1104068,"M",10,129.19
1105056,"M",10,302.73
1108085,"M",10,191.75
1104068,"F",15,579.89
1105056,"F",15,533.69
1108085,"F",15,280.03
1104068,"M",15,551.03
1105056,"M",15,381.69
1108085,"M",15,313.08
1104068,"F",20,1428.87
1105056,"F",20,229.39
1108085,"F",20,379.92
1104068,"M",20,797.65
1105056,"M",20,201.13
1108085,"M",20,238.1
1104068,"F",25,1512.42
1105056,"F",25,349.71
1108085,"F",25,344.63
1104068,"M",25,1208.8
1105056,"M",25,280.01
1108085,"M",25,314.9
1104068,"F",30,886.02
1105056,"F",30,416.37
1108085,"F",30,303.77
1104068,"M",30,1027.45
1105056,"M",30,283.04
1108085,"M",30,251.47
1104068,"F",35,938.21
1105056,"F",35,428
1108085,"F",35,453.94
1104068,"M",35,918.26
1105056,"M",35,278.07
1108085,"M",35,250.97
1104068,"F",40,913.42
1105056,"F",40,478.59
1108085,"F",40,345.09
1104068,"M",40,1243.95
1105056,"M",40,408.48
1108085,"M",40,431.09
1104068,"F",45,631.84
1105056,"F",45,431.97
1108085,"F",45,418.88
1104068,"M",45,1314.73
1105056,"M",45,376.71
1108085,"M",45,540.47
1104068,"F",50,845.01
1105056,"F",50,693.46
1108085,"F",50,501.46
1104068,"M",50,1603.4
1105056,"M",50,542.07
1108085,"M",50,526.05
1104068,"F",55,734.05
1105056,"F",55,661.72
1108085,"F",55,536.19
1104068,"M",55,1034.92
1105056,"M",55,717.18
1108085,"M",55,600.57
1104068,"F",60,737.12
1105056,"F",60,615.51
1108085,"F",60,617
1104068,"M",60,1037.44
1105056,"M",60,590.42
1108085,"M",60,832.66
1104068,"F",65,442.01
1105056,"F",65,412.93
1108085,"F",65,530.99
1104068,"M",65,762.52
1105056,"M",65,464.25
1108085,"M",65,584.41
1104068,"F",70,306.75
1105056,"F",70,342.91
1108085,"F",70,390.43
1104068,"M",70,257.75
1105056,"M",70,287.5
1108085,"M",70,329.91
1104068,"F",75,201.73
1105056,"F",75,388.46
1108085,"F",75,452.56
1104068,"M",75,267.07
1105056,"M",75,239.11
1108085,"M",75,479.94
1104068,"F",80,307.93
1105056,"F",80,291.3
1108085,"F",80,292.5
1104068,"M",80,330.04
1105056,"M",80,227.98
1108085,"M",80,400.7
