"도착.행정동.코드","성별","나이","이동인구.합."
1104068,"F",0,194.32
1105056,"F",0,195.82
1108085,"F",0,619.15
1104068,"M",0,356.5
1105056,"M",0,324.68
1108085,"M",0,398.89
1104068,"F",10,154.7
1105056,"F",10,227.49
1108085,"F",10,252.23
1104068,"M",10,70.47
1105056,"M",10,243.59
1108085,"M",10,264.76
1104068,"F",15,712.95
1105056,"F",15,364.88
1108085,"F",15,275.61
1104068,"M",15,347.1
1105056,"M",15,340.85
1108085,"M",15,337.54
1104068,"F",20,1742.58
1105056,"F",20,280.67
1108085,"F",20,325
1104068,"M",20,816.53
1105056,"M",20,208.69
1108085,"M",20,219.02
1104068,"F",25,1782.57
1105056,"F",25,386.17
1108085,"F",25,320.75
1104068,"M",25,1443.59
1105056,"M",25,346.41
1108085,"M",25,323.4
1104068,"F",30,1031.19
1105056,"F",30,436.2
1108085,"F",30,262.18
1104068,"M",30,1123.52
1105056,"M",30,331.29
1108085,"M",30,319.62
1104068,"F",35,932.86
1105056,"F",35,458.25
1108085,"F",35,482.22
1104068,"M",35,995.06
1105056,"M",35,308.14
1108085,"M",35,315.12
1104068,"F",40,879.7
1105056,"F",40,523.2
1108085,"F",40,475.34
1104068,"M",40,1215.69
1105056,"M",40,429.65
1108085,"M",40,435.05
1104068,"F",45,648.88
1105056,"F",45,398.42
1108085,"F",45,501.57
1104068,"M",45,1170.29
1105056,"M",45,443.9
1108085,"M",45,432.39
1104068,"F",50,850.46
1105056,"F",50,697.41
1108085,"F",50,466.89
1104068,"M",50,1375.29
1105056,"M",50,626.19
1108085,"M",50,639.6
1104068,"F",55,785.01
1105056,"F",55,674.07
1108085,"F",55,500.11
1104068,"M",55,1151.63
1105056,"M",55,763.42
1108085,"M",55,727.89
1104068,"F",60,704.74
1105056,"F",60,695.12
1108085,"F",60,655.52
1104068,"M",60,1015.85
1105056,"M",60,589.36
1108085,"M",60,850.22
1104068,"F",65,581.42
1105056,"F",65,565.96
1108085,"F",65,548.78
1104068,"M",65,693.13
1105056,"M",65,505.31
1108085,"M",65,473.87
1104068,"F",70,328.75
1105056,"F",70,405.8
1108085,"F",70,413
1104068,"M",70,317.51
1105056,"M",70,327.17
1108085,"M",70,343.7
1104068,"F",75,236.6
1105056,"F",75,317.8
1108085,"F",75,426.06
1104068,"M",75,332.65
1105056,"M",75,179.12
1108085,"M",75,425.9
1104068,"F",80,212.91
1105056,"F",80,349.06
1108085,"F",80,604.19
1104068,"M",80,263.64
1105056,"M",80,256.31
1108085,"M",80,371.96
