"도착.행정동.코드","성별","나이","이동인구.합."
1104068,"F",0,166.49
1105056,"F",0,89.92
1108085,"F",0,252.99
1104068,"M",0,286.87
1105056,"M",0,432.02
1108085,"M",0,398.04
1104068,"F",10,148.52
1105056,"F",10,239.21
1108085,"F",10,162.18
1104068,"M",10,90.75
1105056,"M",10,197.5
1108085,"M",10,205.09
1104068,"F",15,474.67
1105056,"F",15,272.98
1108085,"F",15,261.03
1104068,"M",15,276.87
1105056,"M",15,313.49
1108085,"M",15,312.91
1104068,"F",20,1193.85
1105056,"F",20,163.06
1108085,"F",20,272.55
1104068,"M",20,600.66
1105056,"M",20,126.77
1108085,"M",20,221.84
1104068,"F",25,1192.33
1105056,"F",25,259.32
1108085,"F",25,299.8
1104068,"M",25,1024.59
1105056,"M",25,197.89
1108085,"M",25,261.69
1104068,"F",30,636.13
1105056,"F",30,312.25
1108085,"F",30,205.97
1104068,"M",30,816.72
1105056,"M",30,207.5
1108085,"M",30,189.8
1104068,"F",35,672.21
1105056,"F",35,354.32
1108085,"F",35,290.85
1104068,"M",35,637.51
1105056,"M",35,196.98
1108085,"M",35,189.77
1104068,"F",40,612.96
1105056,"F",40,391.02
1108085,"F",40,301.94
1104068,"M",40,903.16
1105056,"M",40,337.41
1108085,"M",40,342.68
1104068,"F",45,441.68
1105056,"F",45,231.73
1108085,"F",45,379.52
1104068,"M",45,934.74
1105056,"M",45,358.03
1108085,"M",45,374.78
1104068,"F",50,564.04
1105056,"F",50,474.62
1108085,"F",50,463.39
1104068,"M",50,966.9
1105056,"M",50,485.66
1108085,"M",50,503.77
1104068,"F",55,487.23
1105056,"F",55,496.17
1108085,"F",55,477.05
1104068,"M",55,684.87
1105056,"M",55,668.87
1108085,"M",55,473.87
1104068,"F",60,531.2
1105056,"F",60,511.95
1108085,"F",60,651.84
1104068,"M",60,772.9
1105056,"M",60,461.01
1108085,"M",60,615.62
1104068,"F",65,418.19
1105056,"F",65,399
1108085,"F",65,467.18
1104068,"M",65,506.68
1105056,"M",65,397.17
1108085,"M",65,486.43
1104068,"F",70,249.54
1105056,"F",70,325.81
1108085,"F",70,350.03
1104068,"M",70,206.71
1105056,"M",70,231.66
1108085,"M",70,292.88
1104068,"F",75,184.06
1105056,"F",75,229.73
1108085,"F",75,266.49
1104068,"M",75,189.45
1105056,"M",75,179.22
1108085,"M",75,342.1
1104068,"F",80,211.93
1105056,"F",80,291.05
1108085,"F",80,253.76
1104068,"M",80,244.78
1105056,"M",80,142.39
1108085,"M",80,276.52
