"도착.행정동.코드","성별","나이","이동인구.합."
1104068,"F",0,111.09
1105056,"F",0,251.97
1108085,"F",0,309.31
1104068,"M",0,215.47
1105056,"M",0,505.05
1108085,"M",0,398.84
1104068,"F",10,184.22
1105056,"F",10,209.55
1108085,"F",10,186.02
1104068,"M",10,116.01
1105056,"M",10,263.38
1108085,"M",10,198.17
1104068,"F",15,442.3
1105056,"F",15,442.11
1108085,"F",15,247.14
1104068,"M",15,403.94
1105056,"M",15,375.54
1108085,"M",15,302.64
1104068,"F",20,1181.19
1105056,"F",20,231.12
1108085,"F",20,243.45
1104068,"M",20,612.2
1105056,"M",20,151.66
1108085,"M",20,171.33
1104068,"F",25,1121.01
1105056,"F",25,287.75
1108085,"F",25,264.95
1104068,"M",25,1033.42
1105056,"M",25,278.38
1108085,"M",25,253.45
1104068,"F",30,679.81
1105056,"F",30,333.44
1108085,"F",30,241.63
1104068,"M",30,906.38
1105056,"M",30,272.34
1108085,"M",30,134.57
1104068,"F",35,719.03
1105056,"F",35,413.83
1108085,"F",35,384.97
1104068,"M",35,729.43
1105056,"M",35,247.39
1108085,"M",35,252.48
1104068,"F",40,668.84
1105056,"F",40,457.8
1108085,"F",40,324.49
1104068,"M",40,1087.85
1105056,"M",40,336.51
1108085,"M",40,382.95
1104068,"F",45,458.03
1105056,"F",45,357.62
1108085,"F",45,395.56
1104068,"M",45,1100.99
1105056,"M",45,341.71
1108085,"M",45,384.9
1104068,"F",50,642.27
1105056,"F",50,580.69
1108085,"F",50,510.5
1104068,"M",50,1247.91
1105056,"M",50,566.87
1108085,"M",50,562.94
1104068,"F",55,601.84
1105056,"F",55,485.29
1108085,"F",55,509.78
1104068,"M",55,891.05
1105056,"M",55,657.45
1108085,"M",55,533.05
1104068,"F",60,609.92
1105056,"F",60,553.78
1108085,"F",60,583.06
1104068,"M",60,803.05
1105056,"M",60,493.56
1108085,"M",60,710.43
1104068,"F",65,473.12
1105056,"F",65,475.09
1108085,"F",65,442.27
1104068,"M",65,559.52
1105056,"M",65,405.05
1108085,"M",65,478.19
1104068,"F",70,209.79
1105056,"F",70,320.15
1108085,"F",70,344.48
1104068,"M",70,230.24
1105056,"M",70,217.7
1108085,"M",70,297.41
1104068,"F",75,218.74
1105056,"F",75,318.06
1108085,"F",75,355.02
1104068,"M",75,195.22
1105056,"M",75,197
1108085,"M",75,365.75
1104068,"F",80,270.51
1105056,"F",80,349.58
1108085,"F",80,467.8
1104068,"M",80,263.24
1105056,"M",80,180.38
1108085,"M",80,295.6
