"도착.행정동.코드","성별","나이","이동인구.합."
1102055,"F",0,55.1
1102069,"F",0,27.1
1103073,"F",0,113.27
1104068,"F",0,195.56
1105056,"F",0,111.74
1105067,"F",0,27.79
1107071,"F",0,28.1
1109061,"F",0,28.07
1111077,"F",0,56.21
1112071,"F",0,419.85
1112073,"F",0,111.88
1114063,"F",0,28.03
1115063,"F",0,28.23
1115069,"F",0,56.31
1102055,"M",0,430.15
1102069,"M",0,89.54
1103073,"M",0,41.61
1104068,"M",0,180.4
1105056,"M",0,142.89
1105067,"M",0,36.23
1107071,"M",0,72.42
1108085,"M",0,72.38
1111077,"M",0,108.7
1112071,"M",0,615.12
1112073,"M",0,217.45
1115063,"M",0,72.64
1115069,"M",0,72.64
1102055,"F",10,71.61
1102069,"F",10,40.91
1103073,"F",10,108
1104068,"F",10,47.81
1105056,"F",10,101.63
1105067,"F",10,29.72
1107071,"F",10,17.95
1108085,"F",10,17.92
1109061,"F",10,5.97
1111077,"F",10,59.87
1112071,"F",10,365.51
1112073,"F",10,155.41
1114063,"F",10,101.55
1115063,"F",10,24.02
1115069,"F",10,252.45
1102055,"M",10,38.97
1102069,"M",10,71.14
1103073,"M",10,118.9
1104068,"M",10,59.35
1105056,"M",10,59.26
1105067,"M",10,12.67
1107071,"M",10,59.38
1108085,"M",10,33.11
1109061,"M",10,6.61
1111077,"M",10,79.3
1112071,"M",10,264.24
1112073,"M",10,171.47
1114063,"M",10,164.21
1115063,"M",10,39.75
1115069,"M",10,152.41
1102055,"F",15,714.21
1102069,"F",15,64.97
1103073,"F",15,199.15
1104068,"F",15,174.9
1105056,"F",15,32.58
1105067,"F",15,46.63
1107071,"F",15,24.45
1108085,"F",15,120.05
1109061,"F",15,8.15
1111077,"F",15,309.79
1112071,"F",15,318.26
1112073,"F",15,46.79
1114063,"F",15,24.33
1115063,"F",15,16.35
1115069,"F",15,75.7
1102055,"M",15,268.19
1102069,"M",15,185.02
1103073,"M",15,335.99
1104068,"M",15,202.52
1105056,"M",15,49.64
1105067,"M",15,50.97
1107071,"M",15,69.43
1108085,"M",15,27.16
1109061,"M",15,27.18
1111077,"M",15,390.17
1112071,"M",15,448.73
1112073,"M",15,155.52
1114063,"M",15,58.54
1115063,"M",15,18.16
1115069,"M",15,102.92
1102055,"F",20,2104.51
1102069,"F",20,326.42
1103073,"F",20,1431.01
1104068,"F",20,2193.81
1105056,"F",20,102.61
1105067,"F",20,305.55
1107071,"F",20,50.24
1108085,"F",20,126.4
1109061,"F",20,33.97
1111077,"F",20,641.24
1112071,"F",20,262.18
1112073,"F",20,122.05
1114063,"F",20,221.02
1115063,"F",20,52.82
1115069,"F",20,54.55
1102055,"M",20,615.02
1102069,"M",20,151.06
1103073,"M",20,784.6
1104068,"M",20,1177.95
1105056,"M",20,102.98
1105067,"M",20,147.74
1107071,"M",20,77.79
1108085,"M",20,80.19
1109061,"M",20,11.36
1111077,"M",20,417.79
1112071,"M",20,204.15
1112073,"M",20,52.1
1114063,"M",20,89.65
1115063,"M",20,48.28
1115069,"M",20,66.12
1102055,"F",25,4353.55
1102069,"F",25,807.64
1103073,"F",25,3254.81
1104068,"F",25,4548.48
1105056,"F",25,186.77
1105067,"F",25,361.96
1107071,"F",25,129.63
1108085,"F",25,188.38
1109061,"F",25,75.69
1111077,"F",25,931.24
1112071,"F",25,390.51
1112073,"F",25,165.58
1114063,"F",25,279.78
1115063,"F",25,44.6
1115069,"F",25,165.16
1102055,"M",25,3269.69
1102069,"M",25,399.17
1103073,"M",25,2922.33
1104068,"M",25,4068.29
1105056,"M",25,159.8
1105067,"M",25,227.77
1107071,"M",25,119.98
1108085,"M",25,108.37
1109061,"M",25,97.85
1111077,"M",25,487.59
1112071,"M",25,379.93
1112073,"M",25,113.28
1114063,"M",25,185.92
1115063,"M",25,57.12
1115069,"M",25,111.51
1102055,"F",30,4633.81
1102069,"F",30,763.08
1103073,"F",30,2822.13
1104068,"F",30,3526.54
1105056,"F",30,182.87
1105067,"F",30,328.83
1107071,"F",30,153.78
1108085,"F",30,161.91
1109061,"F",30,57.36
1111077,"F",30,857.04
1112071,"F",30,519.2
1112073,"F",30,234.93
1114063,"F",30,281.05
1115063,"F",30,36.38
1115069,"F",30,163.05
1102055,"M",30,4240.45
1102069,"M",30,483.93
1103073,"M",30,3531.59
1104068,"M",30,3980.19
1105056,"M",30,205.75
1105067,"M",30,181.1
1107071,"M",30,135.38
1108085,"M",30,137.98
1109061,"M",30,122.94
1111077,"M",30,383.98
1112071,"M",30,354.49
1112073,"M",30,93.59
1114063,"M",30,198.22
1115063,"M",30,61.39
1115069,"M",30,94.97
1102055,"F",35,4629.39
1102069,"F",35,1001.46
1103073,"F",35,2788.94
1104068,"F",35,2574.17
1105056,"F",35,269.58
1105067,"F",35,359.83
1107071,"F",35,200.49
1108085,"F",35,230.75
1109061,"F",35,66.69
1111077,"F",35,1045.3
1112071,"F",35,1104.4
1112073,"F",35,302.99
1114063,"F",35,380.87
1115063,"F",35,174.36
1115069,"F",35,203.62
1102055,"M",35,4246.78
1102069,"M",35,595.61
1103073,"M",35,2992.14
1104068,"M",35,3281.11
1105056,"M",35,206.84
1105067,"M",35,214.13
1107071,"M",35,134.66
1108085,"M",35,96.87
1109061,"M",35,75.7
1111077,"M",35,421.43
1112071,"M",35,458.7
1112073,"M",35,166.66
1114063,"M",35,206.35
1115063,"M",35,77.58
1115069,"M",35,116.32
1102055,"F",40,4280.43
1102069,"F",40,988.78
1103073,"F",40,2356.47
1104068,"F",40,2246.63
1105056,"F",40,383.65
1105067,"F",40,459.59
1107071,"F",40,252.92
1108085,"F",40,298.49
1109061,"F",40,209.98
1111077,"F",40,1471.46
1112071,"F",40,1271.82
1112073,"F",40,328.6
1114063,"F",40,414.22
1115063,"F",40,220.74
1115069,"F",40,336.46
1102055,"M",40,5173.09
1102069,"M",40,675.34
1103073,"M",40,3545.37
1104068,"M",40,2934.95
1105056,"M",40,240.49
1105067,"M",40,318.45
1107071,"M",40,283.02
1108085,"M",40,275.84
1109061,"M",40,122.36
1111077,"M",40,611.61
1112071,"M",40,691.27
1112073,"M",40,295.3
1114063,"M",40,318.5
1115063,"M",40,173.96
1115069,"M",40,250.74
1102055,"F",45,2817.72
1102069,"F",45,1028.15
1103073,"F",45,1820.09
1104068,"F",45,1925.2
1105056,"F",45,391.01
1105067,"F",45,364.08
1107071,"F",45,308.49
1108085,"F",45,321.05
1109061,"F",45,199.79
1111077,"F",45,1490.77
1112071,"F",45,1337.7
1112073,"F",45,305.54
1114063,"F",45,377.56
1115063,"F",45,273.1
1115069,"F",45,242.5
1102055,"M",45,4319.59
1102069,"M",45,517.11
1103073,"M",45,2897.45
1104068,"M",45,2735.64
1105056,"M",45,367.4
1105067,"M",45,402.15
1107071,"M",45,293.41
1108085,"M",45,324.19
1109061,"M",45,162.01
1111077,"M",45,737.81
1112071,"M",45,711.21
1112073,"M",45,287.16
1114063,"M",45,275.98
1115063,"M",45,101.92
1115069,"M",45,189.65
1102055,"F",50,3003.66
1102069,"F",50,1100.26
1103073,"F",50,1482.65
1104068,"F",50,1535.72
1105056,"F",50,454.9
1105067,"F",50,409.04
1107071,"F",50,515.82
1108085,"F",50,331.3
1109061,"F",50,209.68
1111077,"F",50,2011.84
1112071,"F",50,1284.73
1112073,"F",50,374.73
1114063,"F",50,329.24
1115063,"F",50,269.95
1115069,"F",50,309.43
1102055,"M",50,3737.92
1102069,"M",50,582.96
1103073,"M",50,2443.14
1104068,"M",50,2490.92
1105056,"M",50,299.47
1105067,"M",50,325.8
1107071,"M",50,474.52
1108085,"M",50,285.78
1109061,"M",50,267.23
1111077,"M",50,1112.08
1112071,"M",50,1047.55
1112073,"M",50,273.03
1114063,"M",50,296.07
1115063,"M",50,175.13
1115069,"M",50,219.46
1102055,"F",55,2037.6
1102069,"F",55,828.42
1103073,"F",55,1300.51
1104068,"F",55,1041.13
1105056,"F",55,497.47
1105067,"F",55,471.76
1107071,"F",55,520.81
1108085,"F",55,380.58
1109061,"F",55,245
1111077,"F",55,1461.19
1112071,"F",55,1266.22
1112073,"F",55,428.06
1114063,"F",55,312.94
1115063,"F",55,327.75
1115069,"F",55,335.24
1102055,"M",55,2400.47
1102069,"M",55,764.52
1103073,"M",55,1549.62
1104068,"M",55,1746.54
1105056,"M",55,348.87
1105067,"M",55,383.62
1107071,"M",55,437.47
1108085,"M",55,364.86
1109061,"M",55,148.43
1111077,"M",55,878.15
1112071,"M",55,667.97
1112073,"M",55,375.4
1114063,"M",55,243.72
1115063,"M",55,264.13
1115069,"M",55,163.98
1102055,"F",60,1948.64
1102069,"F",60,1014.43
1103073,"F",60,1338.31
1104068,"F",60,811.11
1105056,"F",60,458.28
1105067,"F",60,521.42
1107071,"F",60,461.1
1108085,"F",60,478.76
1109061,"F",60,317.15
1111077,"F",60,1921.01
1112071,"F",60,1327.05
1112073,"F",60,506.52
1114063,"F",60,415.67
1115063,"F",60,356.78
1115069,"F",60,354.26
1102055,"M",60,1571.16
1102069,"M",60,791.18
1103073,"M",60,1207.01
1104068,"M",60,1295.96
1105056,"M",60,405.89
1105067,"M",60,509.02
1107071,"M",60,479.34
1108085,"M",60,303.46
1109061,"M",60,165.8
1111077,"M",60,980.36
1112071,"M",60,832.35
1112073,"M",60,370.55
1114063,"M",60,303.91
1115063,"M",60,191.1
1115069,"M",60,243.18
1102055,"F",65,1789.42
1102069,"F",65,658.84
1103073,"F",65,959.97
1104068,"F",65,524.2
1105056,"F",65,370.35
1105067,"F",65,453.56
1107071,"F",65,514.72
1108085,"F",65,531.56
1109061,"F",65,360.94
1111077,"F",65,1440.35
1112071,"F",65,1352.66
1112073,"F",65,421.38
1114063,"F",65,219.51
1115063,"F",65,334.75
1115069,"F",65,253.58
1102055,"M",65,1138.41
1102069,"M",65,648.34
1103073,"M",65,1015.98
1104068,"M",65,868.4
1105056,"M",65,242.1
1105067,"M",65,339.93
1107071,"M",65,375.24
1108085,"M",65,289.94
1109061,"M",65,285.58
1111077,"M",65,783.78
1112071,"M",65,714.27
1112073,"M",65,220.43
1114063,"M",65,211.53
1115063,"M",65,171.41
1115069,"M",65,183.81
1102055,"F",70,621.16
1102069,"F",70,445.15
1103073,"F",70,550.87
1104068,"F",70,319.12
1105056,"F",70,359.75
1105067,"F",70,136.67
1107071,"F",70,314.62
1108085,"F",70,189.25
1109061,"F",70,246.06
1111077,"F",70,790.18
1112071,"F",70,979.16
1112073,"F",70,406.33
1114063,"F",70,222.62
1115063,"F",70,235.11
1115069,"F",70,212.35
1102055,"M",70,694.56
1102069,"M",70,277.09
1103073,"M",70,640.59
1104068,"M",70,416.84
1105056,"M",70,143.62
1105067,"M",70,154.28
1107071,"M",70,236.16
1108085,"M",70,171.38
1109061,"M",70,94.15
1111077,"M",70,667.94
1112071,"M",70,584.58
1112073,"M",70,255.41
1114063,"M",70,134.17
1115063,"M",70,125.53
1115069,"M",70,180.75
1102055,"F",75,591.02
1102069,"F",75,413.57
1103073,"F",75,385.74
1104068,"F",75,194.61
1105056,"F",75,300.43
1105067,"F",75,320.44
1107071,"F",75,460.36
1108085,"F",75,194.79
1109061,"F",75,353.97
1111077,"F",75,734.71
1112071,"F",75,831.37
1112073,"F",75,336.27
1114063,"F",75,335.1
1115063,"F",75,151.07
1115069,"F",75,124.01
1102055,"M",75,565.14
1102069,"M",75,284.2
1103073,"M",75,339.98
1104068,"M",75,256.14
1105056,"M",75,149.44
1105067,"M",75,77.49
1107071,"M",75,209.39
1108085,"M",75,119.88
1109061,"M",75,185.87
1111077,"M",75,597.54
1112071,"M",75,586.74
1112073,"M",75,131.62
1114063,"M",75,161.33
1115063,"M",75,138.08
1115069,"M",75,71.82
1102055,"F",80,555.46
1102069,"F",80,249.37
1103073,"F",80,679.57
1104068,"F",80,308.67
1105056,"F",80,388.17
1105067,"F",80,212.61
1107071,"F",80,369.43
1108085,"F",80,329.36
1109061,"F",80,272.22
1111077,"F",80,1225.29
1112071,"F",80,1281.14
1112073,"F",80,603.67
1114063,"F",80,406.66
1115063,"F",80,214.13
1115069,"F",80,213.7
1102055,"M",80,606.13
1102069,"M",80,375.65
1103073,"M",80,625.13
1104068,"M",80,318.71
1105056,"M",80,170.9
1105067,"M",80,194.69
1107071,"M",80,180.55
1108085,"M",80,114.26
1109061,"M",80,161.39
1111077,"M",80,579.28
1112071,"M",80,723.19
1112073,"M",80,294.75
1114063,"M",80,255.87
1115063,"M",80,114.35
1115069,"M",80,57.22
