"상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","집객시설_수","관공서_수","은행_수","종합병원_수","일반_병원_수","약국_수","유치원_수","초등학교_수","중학교_수","고등학교_수","대학교_수","백화점_수","슈퍼마켓_수","극장_수","숙박_시설_수","공항_수","철도_역_수","버스_터미널_수","지하철_역_수","버스_정거장_수"
"A","골목상권",2110041,"남산케이블카",12,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,2
"D","발달상권",2120029,"을지로2가",22,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"D","발달상권",2120023,"서울시청",47,3,9,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"D","발달상권",2120026,"을지로입구역",59,4,19,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"D","발달상권",2120028,"명동(명동거리)",166,4,13,NA,NA,20,NA,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,1,8
"D","발달상권",2120030,"중부경찰서(영화인의거리)",40,4,5,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D","발달상권",2120027,"명동역(명동재미로)",46,1,2,NA,NA,2,NA,1,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,5
"R","전통시장",2130030,"을지로지하보도쇼핑센터(을지입구지하상가)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","전통시장",2130028,"을지입구지하상가(을지로지하보도쇼핑센터)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"R","전통시장",2130029,"명동역지하도상가",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
