"상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","집객시설_수","관공서_수","은행_수","종합병원_수","일반_병원_수","약국_수","유치원_수","초등학교_수","중학교_수","고등학교_수","대학교_수","백화점_수","슈퍼마켓_수","극장_수","숙박_시설_수","공항_수","철도_역_수","버스_터미널_수","지하철_역_수","버스_정거장_수"
"A","골목상권",2110019,"창덕궁",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"D","발달상권",2120010,"원남동사거리",22,NA,1,NA,NA,5,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,5
"D","발달상권",2120008,"인사동",50,1,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,14
"D","발달상권",2120006,"종각역",118,1,11,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,14
"D","발달상권",2120009,"종로3가역",163,7,6,NA,NA,9,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,3,8
"D","발달상권",2120004,"종로구청",31,3,2,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,2
"D","발달상권",2120011,"종로4가",29,2,2,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"R","전통시장",2130006,"종로4가지하쇼핑센터",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","전통시장",2130005,"세운상가가동",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R","전통시장",2130003,"종각지하쇼핑센터",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1
"R","전통시장",2130007,"광장시장(광장전통시장)",22,1,3,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"U","관광특구",1001494,"종로?청계 관광특구",243,5,18,NA,NA,32,NA,NA,NA,NA,NA,NA,6,NA,15,NA,NA,NA,4,27
