Domain,testFac,houseH,Popul,Man,Woman,Kpopul,Kman,Kwoman,Fpopul,Fman,Fwoman,PPH,Old,Pdensity,Hn1,Hn2,Hn3,Hn4,Hn5,Hn6,Hn7,Station,OldFac,OldPer,OldPerP,Oldmana,OldMedic,OldMedicPer,OldmedicPerP,OldMedicmana,OldFam,OldFamPer,OldFamPerP,OldFammana,Mycar,car,van,lorry,specar,autoB
JongRo,5.00 ,74113.00 ,156567.00 ,75772.00 ,80795.00 ,147296.00 ,71644.00 ,75652.00 ,9271.00 ,4128.00 ,5143.00 ,1.99 ,27781.00 ,6431.00 ,25983.00 ,16281.00 ,10882.00 ,7679.00 ,2027.00 ,440.00 ,122.00 ,10.00 ,10.00 ,364.00 ,340.00 ,258.00 ,8.00 ,347.00 ,325.00 ,245.00 ,2.00 ,17.00 ,15.00 ,13.00 ,44444.00 ,38943.00 ,1626.00 ,3804.00 ,71.00 ,12610.00 
Jung,6.00 ,63746.00 ,133708.00 ,65312.00 ,68396.00 ,124552.00 ,60851.00 ,63701.00 ,9156.00 ,4461.00 ,4695.00 ,1.95 ,24767.00 ,13231.00 ,22818.00 ,14978.00 ,9301.00 ,6134.00 ,1425.00 ,352.00 ,85.00 ,15.00 ,3.00 ,83.00 ,81.00 ,68.00 ,2.00 ,74.00 ,72.00 ,61.00 ,1.00 ,9.00 ,9.00 ,7.00 ,53685.00 ,46779.00 ,1905.00 ,4899.00 ,102.00 ,14004.00 
YongSan,4.00 ,112881.00 ,243336.00 ,118120.00 ,125216.00 ,229013.00 ,110181.00 ,118832.00 ,14323.00 ,7939.00 ,6384.00 ,2.03 ,39575.00 ,10852.00 ,36881.00 ,25941.00 ,17655.00 ,11733.00 ,2812.00 ,565.00 ,127.00 ,5.00 ,4.00 ,203.00 ,204.00 ,143.00 ,3.00 ,194.00 ,195.00 ,136.00 ,1.00 ,9.00 ,9.00 ,7.00 ,76924.00 ,69534.00 ,2036.00 ,5260.00 ,94.00 ,16574.00 
SeongDong,5.00 ,135883.00 ,298421.00 ,145358.00 ,153063.00 ,291906.00 ,142506.00 ,149400.00 ,6515.00 ,2852.00 ,3663.00 ,2.15 ,45968.00 ,17359.00 ,42585.00 ,32368.00 ,25023.00 ,17568.00 ,3655.00 ,781.00 ,206.00 ,9.00 ,6.00 ,418.00 ,386.00 ,251.00 ,3.00 ,391.00 ,359.00 ,234.00 ,3.00 ,27.00 ,27.00 ,17.00 ,93617.00 ,82651.00 ,2185.00 ,8628.00 ,153.00 ,17256.00 
GwangJin,4.00 ,166638.00 ,356191.00 ,171131.00 ,185060.00 ,343392.00 ,165747.00 ,177645.00 ,12799.00 ,5384.00 ,7415.00 ,2.06 ,50370.00 ,20666.00 ,62301.00 ,36380.00 ,27174.00 ,20794.00 ,4354.00 ,846.00 ,241.00 ,3.00 ,20.00 ,595.00 ,556.00 ,368.00 ,8.00 ,487.00 ,453.00 ,295.00 ,12.00 ,108.00 ,103.00 ,73.00 ,93059.00 ,80142.00 ,2470.00 ,10360.00 ,87.00 ,18735.00 
DongDaeMoon,6.00 ,165924.00 ,352570.00 ,173309.00 ,179261.00 ,338875.00 ,167895.00 ,170980.00 ,13695.00 ,5414.00 ,8281.00 ,2.04 ,60868.00 ,24762.00 ,60925.00 ,36819.00 ,27120.00 ,19528.00 ,4653.00 ,1062.00 ,266.00 ,5.00 ,25.00 ,408.00 ,386.00 ,264.00 ,4.00 ,224.00 ,208.00 ,140.00 ,21.00 ,184.00 ,178.00 ,124.00 ,93320.00 ,80297.00 ,2995.00 ,9900.00 ,128.00 ,23903.00 
JungRang,4.00 ,185506.00 ,396807.00 ,195639.00 ,201168.00 ,392041.00 ,193752.00 ,198289.00 ,4766.00 ,1887.00 ,2879.00 ,2.11 ,69841.00 ,21188.00 ,56605.00 ,45576.00 ,32612.00 ,23295.00 ,5344.00 ,1107.00 ,293.00 ,0.00 ,48.00 ,1201.00 ,1097.00 ,740.00 ,10.00 ,859.00 ,781.00 ,512.00 ,38.00 ,342.00 ,316.00 ,228.00 ,105334.00 ,89676.00 ,3564.00 ,11928.00 ,166.00 ,24988.00 
SeongBuk,4.00 ,193965.00 ,444295.00 ,213586.00 ,230709.00 ,434826.00 ,209902.00 ,224924.00 ,9469.00 ,3684.00 ,5785.00 ,2.24 ,73158.00 ,17909.00 ,61510.00 ,45693.00 ,36539.00 ,27954.00 ,6373.00 ,1272.00 ,319.00 ,3.00 ,21.00 ,757.00 ,651.00 ,431.00 ,16.00 ,715.00 ,613.00 ,400.00 ,5.00 ,42.00 ,38.00 ,31.00 ,116578.00 ,104302.00 ,3249.00 ,8888.00 ,139.00 ,23743.00 
GangBuk,2.00 ,144410.00 ,307537.00 ,149582.00 ,157955.00 ,304078.00 ,148306.00 ,155772.00 ,3459.00 ,1276.00 ,2183.00 ,2.11 ,62893.00 ,12820.00 ,45685.00 ,36432.00 ,25261.00 ,17339.00 ,4048.00 ,836.00 ,204.00 ,3.00 ,31.00 ,707.00 ,676.00 ,462.00 ,8.00 ,503.00 ,482.00 ,322.00 ,23.00 ,204.00 ,194.00 ,140.00 ,70621.00 ,60738.00 ,2494.00 ,7292.00 ,97.00 ,17688.00 
DoBong,5.00 ,138120.00 ,323752.00 ,157562.00 ,166190.00 ,321717.00 ,156810.00 ,164907.00 ,2035.00 ,752.00 ,1283.00 ,2.33 ,62360.00 ,15465.00 ,34884.00 ,37166.00 ,28658.00 ,21089.00 ,4478.00 ,856.00 ,231.00 ,2.00 ,55.00 ,1144.00 ,1058.00 ,725.00 ,21.00 ,848.00 ,780.00 ,518.00 ,34.00 ,296.00 ,278.00 ,207.00 ,87940.00 ,76643.00 ,2736.00 ,8429.00 ,132.00 ,13581.00 
